video_id,qid,question,answer,a0,a1,a2,a3,a4,type
6329077812,7,what did the lady do after taking the napkin?, wipe the baby's mouth,touch the baby again,turn away,adjusts the baby in grey,smiling, wipe the baby's mouth,TN
3261079025,6,what happened to the plane after the man in grey held the plane?, the plane took off,spinning,take picture of the wall,touch the earphones, the plane took off,climed on the trunk,TN
4260763967,8,what was the boy in blue doing after the boy in yellow picks something up from the ground at the middle?, turn his head behind,move his hands to other chair,play with sand,look at him, turn his head behind,throw to make splash,TN
8177965766,1,what did the man on the stage do after standing and swaying?, sit,throw a piece of paper, sit,shorten the rope,applaud them,pick up something,TN
8557532213,4,what did the boy in yellow do after he kicked the ball up?, pass the ball to the boy in blue,chase up the ball,pick something up from ground,look to the left,look at camera, pass the ball to the boy in blue,TN
8457210773,7,what did the black dog do after pushing the dog at the end?, stand up,mount the black dog,chase the dog, stand up,gesture to dog,look at him,TN
7605329840,7,what did the girl in black do after blowing near the end?, stand up, stand up,walk,happy,remove the toys from box,blue jacket,TN
6239210933,1,what does the child do after looking at the laptop?, draw on the pink toy,book,phone,camera, draw on the pink toy,art works,TN
3897746373,4,what did the girl in pink do after the man pushed her to swim?, start swimming,move towards him, start swimming,stand at the side of the stage,walks away,lies down on the float,TN
12392885583,8,what did the baby do after the man wearing the grey jacket watched?, get the pacifier,carry baby up,turn away, get the pacifier,swing her arms,move it closer to the kid,TN
4263096481,7,what did the man do after he cut the fish head?, cut the fish sideways,wriggle around,interested, cut the fish sideways,pull it up,moved its body,TN
3429509208,8,what did the boy do after turning the vacuum cleaner?, raise his hand to take the camera,brush his pants, raise his hand to take the camera,look away,laughed,talk to boy,TN
4388652400,3,what is the dog doing after chasing its tail?, being touched by the man,keep peeking at dog,run away, being touched by the man,biting on to the blue toy,jump onto his leg,TN
3972259774,3,what does the man in yellow do after the people make gestures to the camera?, hand the box over to the lady,take the things out of box,shake hands,kneel, hand the box over to the lady,looking at card,TN
9213637099,0,what did the girl do after she jumped in the middle?, put her hands up,claps, put her hands up,bow,lay down,singing,TN
2810112808,1,what does the man in red do after contemplating to put the card down at the start?, place the card down,chewing something,run to the plant,behind him, place the card down,carry weight,TN
4968805923,1,what did the man in white do after holding the bat behind his back?, move his arms,airplane,kites, move his arms,racket,ball,TN
4420239986,7,what does the dog do after licking the cat at the end?, go under the table,walk away,leave, go under the table,starts eating,chasing its tail,TN
5308503740,2,what did the black and white rabbit do after sniffing the ledge?, climb towards the tree, climb towards the tree,get to the red cloth,jumped,lie on the ground,standing,TN
4984417707,5,what does the elephant do after the man in blue blows the whistle?, kicks the ball, kicks the ball,get up,runs to the baby,play with pipe,lean against pole,TN
9528990839,5,what did the lady do after she stood up and looked in front?, wave into the camera,pulled up her scarf, wave into the camera,listening,smile,jump on bed,TN
6624174621,6,what did the woman do after talking to the girl?, stand up,dancing,start dancing,walking down the pavement, stand up,dance,TN
2547885226,4,what does the kid do after looking at the camera?, stand up,hug lady,looking left and right, stand up,play with toy,nod his head,TN
6097994550,7,what did the man do after staring at the camera?, roll over,lie on his back,touched the baby s back,lie down, roll over,stand up,TN
8990144134,5,what did the cat do after lying down?, see the cat,stand still and walk away,move to other cat, see the cat,licking an object,touch it,TN
8189958994,9,what is the lady doing after walking the dog in the beginning of the video?, stopped the dog,put the box aside,walk away, stopped the dog,smile at the camera,talk,TN
11276567104,8,what does the priest do after the woman kneels before him?, giving blessings and touching her forehead,carve pumpkin,walk away, giving blessings and touching her forehead,playing with the dog,looking around and talking,TP
9735768590,9,what did the baby do after staring at the woman at the end?, raise his hand,look up smile and move hand,bounce up and down, raise his hand,reach hand out,yawns,TN
2930782930,5,what did the lady do after holding the baby's hand?, kiss the baby,move hands into water, kiss the baby,talk,stand up,clasp ball together,TN
3171006258,8,what activity did the man do after skiing?, fall,stand on slope,feed baby, fall,playing the guitar,talks to the lady,TN
10727696143,7,what did the boy do after standing and touching his lips at the start?, run forward,sitting still, run forward,climbing up,smiles,bite a slip of paper,TN
4925211209,6,what did the man do after moving to position?, cut the tree,puts his hand on the baby,fly up, cut the tree,cycling,turn the model,TN
3869005094,3,what did the four people do together after raising the sword?, start their practice,move behind,pass to others,practice another move, start their practice,bow down,TN
4955723618,6,what did the man in grey do after the man in black in front of him looked at him?, pass him the microphone,stands still on the left,shakes head,talk into microphone,put hand in mouth, pass him the microphone,TN
7364407194,3,what did the baby in blue do after he looked to his right at the end?, look up,smiles,crawl over, look up,put it in cylinder,bored and uninterested,TN
2552130183,3,what did the baby do after jumping near the adult's knee at the end?, turn back,play with owl toy,picks up the car,suck his thumb,playing with toys, turn back,TN
2401167740,3,what was the man doing after speaking?, taking a drink from his cup,walk away, taking a drink from his cup,flip cup for game,dancing,rope skipping,TN
5445581571,3,what is the white dog doing after playing with the yellow toy?, look up,remote controller, look up,ball,toy giraffe,toy watermelon,TN
