video_id,qid,question,answer,a0,a1,a2,a3,a4,type
6329077812,7,what did the lady do?,take napkin before wipping the baby s mouth,take napkin after wipping the baby s mouth,take napkin when wipping the baby s mouth,take napkin posterior to wipping the baby s mouth,wipping the baby s mouth before take napkin,take napkin before wipping the baby s mouth,TP
3261079025,6,what did the man in grey do?,hold the plane before the plane took off,hold the plane after the plane took off,hold the plane when the plane took off,hold the plane posterior to the plane took off,hold the plane before the plane took off,the plane took off before hold the plane,TP
4260763967,8,what was the boy in yellow doing at the middle?,pick something up from ground before the boy in blue turned his head behind,pick something up from ground after the boy in blue turned his head behind,pick something up from ground when the boy in blue turned his head behind,pick something up from ground posterior to the boy in blue turned his head behind,pick something up from ground before the boy in blue turned his head behind,the boy in blue turned his head behind before pick something up from ground,TP
8177965766,1,what did the man on the stage do?,stand and sway before sitting,stand and sway after sitting,stand and sway before sitting,stand and sway when sitting,stand and sway posterior to sitting,sitting before stand and sway,TP
8557532213,4,what did the boy in yellow do?,kick it up before he passed the ball to the boy in blue,kick it up after he passed the ball to the boy in blue,kick it up when he passed the ball to the boy in blue,kick it up posterior to he passed the ball to the boy in blue,he passed the ball to the boy in blue before kick it up,kick it up before he passed the ball to the boy in blue,TP
8457210773,7,what did the black dog do at the end?,push dog before it stood up,push dog after it stood up,push dog when it stood up,push dog before it stood up,push dog posterior to it stood up,it stood up before push dog,TP
7605329840,7,what was the girl in black doing near the end?,blowing before she stood up,blowing before she stood up,blowing after she stood up,blowing when she stood up,blowing posterior to she stood up,she stood up before blowing,TP
6239210933,1,what does the child look at?,laptop before drawing on the pink toy,laptop after drawing on the pink toy,laptop when drawing on the pink toy,laptop posterior to drawing on the pink toy,laptop before drawing on the pink toy,drawing on the pink toy before laptop,TP
3897746373,4,what did the man do?,push her to swim before the girl in pink started swimming,push her to swim after the girl in pink started swimming,push her to swim before the girl in pink started swimming,push her to swim when the girl in pink started swimming,push her to swim posterior to the girl in pink started swimming,the girl in pink started swimming before push her to swim,TP
12392885583,8,what did the man wearing the grey jacket do?,watch before the baby got the pacifier,watch after the baby got the pacifier,watch when the baby got the pacifier,watch before the baby got the pacifier,watch posterior to the baby got the pacifier,the baby got the pacifier before watch,TP
4263096481,7,what did the man do?,cut fish head before he cut the fish sideways,cut fish head after he cut the fish sideways,cut fish head when he cut the fish sideways,cut fish head before he cut the fish sideways,cut fish head posterior to he cut the fish sideways,he cut the fish sideways before cut fish head,TP
3429509208,8,what did the boy do?,turn the vacuum cleaner before he raised his hand to take the camera,turn the vacuum cleaner after he raised his hand to take the camera,turn the vacuum cleaner before he raised his hand to take the camera,turn the vacuum cleaner when he raised his hand to take the camera,turn the vacuum cleaner posterior to he raised his hand to take the camera,he raised his hand to take the camera before turn the vacuum cleaner,TP
4388652400,3,what is the dog doing?,chasing its tail before being touched by the man,chasing its tail after being touched by the man,chasing its tail when being touched by the man,chasing its tail before being touched by the man,chasing its tail posterior to being touched by the man,being touched by the man before chasing its tail,TP
3972259774,3,what do the people do?,make gestures to camera before the man in yellow hands the box over to the lady,make gestures to camera after the man in yellow hands the box over to the lady,make gestures to camera when the man in yellow hands the box over to the lady,make gestures to camera posterior to the man in yellow hands the box over to the lady,make gestures to camera before the man in yellow hands the box over to the lady,the man in yellow hands the box over to the lady before make gestures to camera,TP
9213637099,0,what did the girl do in the middle?,jump before she put her hands up,jump after she put her hands up,jump before she put her hands up,jump when she put her hands up,jump posterior to she put her hands up,she put her hands up before jump,TP
2810112808,1,what does the man in red do at the start?,contemplating to put card down before placing the card down,contemplating to put card down after placing the card down,contemplating to put card down when placing the card down,contemplating to put card down posterior to placing the card down,contemplating to put card down before placing the card down,placing the card down before contemplating to put card down,TP
4968805923,1,what is the man in white holding behind his back?,bat before he moved his arms,bat after he moved his arms,bat when he moved his arms,bat before he moved his arms,bat posterior to he moved his arms,he moved his arms before bat,TP
4420239986,7,what does the dog do at the end?,lick cat before he goes under the table,lick cat after he goes under the table,lick cat when he goes under the table,lick cat before he goes under the table,lick cat posterior to he goes under the table,he goes under the table before lick cat,TP
5308503740,2,what did the black and white rabbit do?,sniffing ledge before climbing towards the tree,sniffing ledge before climbing towards the tree,sniffing ledge after climbing towards the tree,sniffing ledge when climbing towards the tree,sniffing ledge posterior to climbing towards the tree,climbing towards the tree before sniffing ledge,TP
4984417707,5,what does the man in blue do?,blows thw whistle before the elephant kicked the ball,blows thw whistle before the elephant kicked the ball,blows thw whistle after the elephant kicked the ball,blows thw whistle when the elephant kicked the ball,blows thw whistle posterior to the elephant kicked the ball,the elephant kicked the ball before blows thw whistle,TP
9528990839,5,what did the lady do?,stood up and look in front before she waved into the camera,stood up and look in front after she waved into the camera,stood up and look in front before she waved into the camera,stood up and look in front when she waved into the camera,stood up and look in front posterior to she waved into the camera,she waved into the camera before stood up and look in front,TP
6624174621,6,what was the woman doing?,talk to girl before she stood up,talk to girl after she stood up,talk to girl when she stood up,talk to girl posterior to she stood up,talk to girl before she stood up,she stood up before talk to girl,TP
2547885226,4,what does the kid do?,looks at the camera before right,looks at the camera after right,looks at the camera when right,looks at the camera before right,looks at the camera posterior to right,right before looks at the camera,TP
6097994550,7,what did the man lying down do?,stare at camera before he rolled over,stare at camera after he rolled over,stare at camera when he rolled over,stare at camera posterior to he rolled over,stare at camera before he rolled over,he rolled over before stare at camera,TP
8990144134,5,what was the cat doing?,lying down before it saw the cat,lying down after it saw the cat,lying down when it saw the cat,lying down before it saw the cat,lying down posterior to it saw the cat,it saw the cat before lying down,TP
8189958994,9,what is the lady doing in the beginning of the video?,walking the dog before she stopped the dog,walking the dog after she stopped the dog,walking the dog when she stopped the dog,walking the dog before she stopped the dog,walking the dog posterior to she stopped the dog,she stopped the dog before walking the dog,TP
11276567104,8,what does the priest do?,giving blessings and touching her forehead while the woman is kneeling before him,giving blessings and touching her forehead before the woman is kneeling before him,giving blessings and touching her forehead after the woman is kneeling before him,giving blessings and touching her forehead while the woman is kneeling before him,giving blessings and touching her forehead prior to the woman is kneeling before him,giving blessings and touching her forehead posterior to the woman is kneeling before him,TP
9735768590,9,what did the baby do at the end?,stares at woman before raising his hand,stares at woman after raising his hand,stares at woman when raising his hand,stares at woman before raising his hand,stares at woman posterior to raising his hand,raising his hand before stares at woman,TP
2930782930,5,what did the lady do?,hold baby s hand before she kissed the baby,hold baby s hand after she kissed the baby,hold baby s hand before she kissed the baby,hold baby s hand when she kissed the baby,hold baby s hand posterior to she kissed the baby,she kissed the baby before hold baby s hand,TP
3171006258,8,what activity was the man doing?,skiing before he fell,skiing after he fell,skiing when he fell,skiing before he fell,skiing posterior to he fell,he fell before skiing,TP
10727696143,7,what was the boy doing at the start?,standing and touching his lips before he ran forward,standing and touching his lips after he ran forward,standing and touching his lips before he ran forward,standing and touching his lips when he ran forward,standing and touching his lips posterior to he ran forward,he ran forward before standing and touching his lips,TP
4925211209,6,what did the man do?,move to position before cutting the tree,move to position after cutting the tree,move to position when cutting the tree,move to position before cutting the tree,move to position posterior to cutting the tree,cutting the tree before move to position,TP
3869005094,3,what did the four people do together?,raise the sword before they start their practice,raise the sword after they start their practice,raise the sword when they start their practice,raise the sword posterior to they start their practice,raise the sword before they start their practice,they start their practice before raise the sword,TP
