qid,video_id,question,answer,type
0,X2toGKgWMpE,what happened after the billiards,chat,2
1,75Tc1nPmZFQ,what happened after playing volleyball,rest,2
2,mvRoVXRGVGw,what happened after skiing,lying on ground,2
3,836UrVGw6GI,what happened after stepping on the skateboard,introduce people,2
4,JH9qiuPCkY4,what happened after the athlete went uphill,motorcycle jump,2
5,JR9LosQmMvg,what happened after the athlete went uphill,jump up,2
6,xizEiQZfJa4,what happened after playing ball,take cell phone,2
7,XxW4XWySzOw,what happened after the boating,play with mud,2
8,mSR-HpiJ0No,what happened after the dance,rest,2
9,xND_kp-aYXw,what happened after the drumming,rest,2
10,mV07bEBkIcM,what happened after the drumming,and then drums,2
11,K7iw2_1BrIk,what happened after the game,audience left,2
12,b_c17BmZCCs,what happened after the game,audience came to court,2
13,dFGS7YCDk3Y,what happened after the game,raise hand to celebrate,2
14,xS4twW2gXqc,what happened after the high jump,rest,2
15,rsU73H6VyG8,what happened after the high jump,cheer,2
16,9MN6GNhvwzA,what happened after taking the hula hoop,hopping hula hoop,2
17,yCpdDJAW-jU,what happened to the person in the video after sweeping the snow,throw snowball,2
18,f6vZaMgqDvQ,what happened after the show,to ground,2
19,BkDbDnvoL28,what happened after the show,video end,2
20,7rwDYzqfGgU,what happened after the show,audience applauded,2
21,nDM4E9CD_y0,what happened after shoveling the snow,then shovel snow,2
22,pmmQuksmTvw,what happened after the athlete started running,pole vault,2
23,Pr5K2Jh2X94,what happened after the athlete started running,jump into sand pit,2
24,-eJT11AuOa0,what happened after walking the dog,talk to passer by,2
25,aGvpDyMNATI,what happened to the person in black before throwing the javelin,run up,2
26,MVA568rRjzQ,what happened before playing tennis,serve,2
27,16bJAOf1SJI,what happened before the ball game,take ball,2
28,N75m1Z4RqbA,what happened before the dance,go on court,2
29,n9EdHGz7ArI,what happened before drinking,introduction of products,2
30,Nb6AQxxrihA,what happened before drinking,drink drink,2
31,BMy7CBVxH5M,what happened before the end of the video,clean horse,2
32,JKJ_EvP7JwQ,what happened before the end of the video,lens shaky,2
33,PSB1nM3QXxg,what happened before the end of the video,end of demonstration,2
34,32vYs9wKXE8,what happened before the hair was made up,comb ones hair,2
35,xfV4V_AOVSM,what happened before the hair was made up,wash hair,2
36,WGUzmra3h_w,what happened before the high jump,start,2
37,snhPrCNubYA,what happened before the jumper's takeoff,run up,2
38,Yg03CCu9GMo,what happened before the person in the video mopped the floor,add ice,2
39,16czjUF1AA4,what happened before the pole vault,prepare for start,2
40,26U3SkeZU6M,what happened before the rope skipping,shedding rope,2
41,DIVaPURJHPo,what happened before the rope skipping,check rope,2
42,390iVq_urQM,what happened before the skating,take skates,2
43,28LdZLfdmMQ,what happened before the skating,get ready,2
44,rMj2JWNJzkw,what happened before the start of the game,coach guidance,2
45,RXT17X7lRoQ,what happened before the start of the game,referee throws the ball,2
46,T3mcQnlsmq4,what happened before the man in the video cut the cat's nails,cat peppermint,2
47,98ukqD62X5s,what happened before throwing the javelin,prepare starting,2
48,WdtytUagoJs,what happened before throwing the javelin,start,2
49,vFO70WwrQgE,what happened before the man in the striped short sleeve washed his hands,shoulder shoulder,2
50,d_A-ylxNbFU,what happened to the person in the video before drinking,showcase wine,2
51,W9H2qVnIWXs,what happened after bathing the dog,blower,2
52,fh9d3gpT-8I,what happened after the man explained,blow up drum,2
53,fhOmyyI0eQE,what happened after the man explained,pruning trees,2
54,UzmsAb15Bso,what happened to the man in a sweater before falling down,squat,2
55,AguxVxEWEs0,what happened before the person in blue turned,wrestling,2
56,P8S8PIyPXxY,what happened before the person in blue turned,demonstrating,2
57,YHqFNnhaFAY,what happened after the person in red went downhill,almost hit by car,2
58,OQEKZXv6jSw,what happened to the person in the red clothes before jumping,run up,2
59,-crpjVnFv0U,what happened to the person in the video after the dance,rest,2
60,OYEKKzQjaJI,what happened to the person in the video before eating the ice cream,production process,2
61,wdvQC41PGPk,what happened to the person in the video before playing,button button,2
62,yUvSujxnFE0,what happened to the person in the video before playing the ball,throw ball,2
